Season,Facility ID,Latitude,Longitude,Street1,Street2,City,State,Postal Code,Country,Type,Facility Name,URL,Phone,Contact,Begin Date,End Date,Begin Time,End Time,Begin DateTime,End DateTime,Recurrence Days,Hours,Eligibility,Cost,Notes,Record ID,Location
2017,48,52.377349,4.887275,Keizersgracht 100,,Amsterdam,,,Netherlands,B,De Rode Hoed,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met hulp,,Centrum,2017-48,"(52.377349,4.887275)"
2017,49,52.379538,4.88631,Noordermarkt 44,,Amsterdam,,,Netherlands,AP,Noorderkerk,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Centrum,2017-49,"(52.379538,4.88631)"
2017,50,52.367975,4.920445,Kruithuisstraat 25,,Amsterdam,,,Netherlands,B,Museumwerf `t Kromhout,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met hulp,,Centrum,2017-50,"(52.367975,4.920445)"
2017,51,52.370488,4.890714,Sint Luciënsteeg 27,,Amsterdam,,,Netherlands,AP,Amsterdam Museum,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Centrum,2017-51,"(52.370488,4.890714)"
2017,52,52.360187,4.901311,Sarphatistraat 1 - 3,,Amsterdam,,,Netherlands,AP,Bezoekerscentrum De Nederlandsche Bank,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Centrum,2017-52,"(52.360187,4.901311)"
2017,53,52.369598,4.901663,Jodenbreestraat 3,,Amsterdam,,,Netherlands,A,Academie voor Theater en Dans,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk,,Centrum,2017-53,"(52.369598,4.901663)"
2017,54,52.375955,4.908907,Oosterdokskade 151,,Amsterdam,,,Netherlands,AP,Conservatorium van Amsterdam,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Centrum,2017-54,"(52.375955,4.908907)"
2017,55,52.384314,4.891647,Westerdok 318,,Amsterdam,,,Netherlands,AP,Ateliers Westerdok,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Centrum,2017-55,"(52.384314,4.891647)"
2017,56,52.379539,4.882447,Tweede Lindendwarsstraat 10,,Amsterdam,,,Netherlands,B,De Noorderspeeltuin,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met hulp,,Centrum,2017-56,"(52.379539,4.882447)"
2017,57,52.364154,4.938764,Javaplein 2,,Amsterdam,,,Netherlands,AP,OBA Javaplein,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Oost,2017-57,"(52.364154,4.938764)"
2017,58,52.364776,4.946451,Kramatweg 31 A,,Amsterdam,,,Netherlands,AP,Kindervreugd,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Oost,2017-58,"(52.364776,4.946451)"
2017,59,52.363554,4.943967,Soembawastraat 61,,Amsterdam,,,Netherlands,AP,Flevoparkschool,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Oost,2017-59,"(52.363554,4.943967)"
2017,60,52.36054,4.940738,Tidorestraat 107,,Amsterdam,,,Netherlands,AP,Verenigingsgebouw Batavia,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Oost,2017-60,"(52.36054,4.940738)"
2017,61,52.360648,4.929081,Ingang Wijttenbachstraat,,Amsterdam,,,Netherlands,B,Havo De Hof,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met hulp,,Oost,2017-61,"(52.360648,4.929081)"
2017,62,52.363554,4.943967,Soembawastraat 61,,Amsterdam,,,Netherlands,AP,Flevoparkschool,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Oost,2017-62,"(52.363554,4.943967)"
2017,63,52.377267,4.938778,KNSM-laan 143,,Amsterdam,,,Netherlands,AP,Loods 6,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Oost,2017-63,"(52.377267,4.938778)"
2017,64,52.37921,4.922795,Tosaristraat 30 A,,Amsterdam,,,Netherlands,A,OBS De Kleine Kapitein,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk,,Oost,2017-64,"(52.37921,4.922795)"
2017,65,52.368875,4.939289,Cruquiusweg 31,,Amsterdam,,,Netherlands,AP,Int. Instituut voor Sociale Geschiedenis,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Oost,2017-65,"(52.368875,4.939289)"
2017,66,52.374049,4.936285,Oostelijke Handelskade 44,,Amsterdam,,,Netherlands,B,De Nieuwe KHL,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met hulp,,Oost,2017-66,"(52.374049,4.936285)"
2017,67,52.376765,4.946346,KNSM-laan 808,,Amsterdam,,,Netherlands,AP,A08 Events Amsterdam,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Oost,2017-67,"(52.376765,4.946346)"
2017,68,52.361228,4.94217,Bataviastraat 24 bg,,Amsterdam,,,Netherlands,AP,Basisschool Onze Toekomst,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Oost,2017-68,"(52.361228,4.94217)"
2017,69,52.372057,4.946599,R.J.H. Fortuynplein 4,,Amsterdam,,,Netherlands,AP,BAC Amsterdam,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Oost,2017-69,"(52.372057,4.946599)"
